CPT Code,Description of Information of CPTCode
A4651,"Calibrated microcapillary tube, each"
A4653,"Peritoneal dialysis catheter anchoring device, belt, each"
A4657,"Syringe, with or without needle, each"
A4660,Sphygmomanometer/blood pressure apparatus with cuff and stethoscope
A4663,Blood pressure cuff only
A4670,Automatic blood pressure monitor
A4671,"Disposable cycler set used with cycler dialysis machine, each"
A4672,"Drainage extension line, sterile, for dialysis, each"
A4673,"Extension line with easy lock connectors, used with dialysis"
A4674,"Chemicals/antiseptics solution used to clean/sterilize dialysis equipment, per 8 oz"
A4680,"Activated carbon filter for hemodialysis, each"
A4690,"Dialyzer (artificial kidneys), all types, all sizes, for hemodialysis, each"
A4706,"Bicarbonate concentrate, solution, for hemodialysis, per gallon"
A4707,"Bicarbonate concentrate, powder, for hemodialysis, per packet"
A4708,"Acetate concentrate solution, for hemodialysis, per gallon"
A4709,"Acid concentrate, solution, for hemodialysis, per gallon"
A4714,"Treated water (deionized, distilled, or reverse osmosis) for peritoneal dialysis, per gallon"
A4720,"Dialysate solution, any concentration of dextrose, fluid volume greater than 249 cc, but less than or equal to 999 cc, for peritoneal dialysis"
A4721,"Dialysate solution, any concentration of dextrose, fluid volume greater than 999 cc but less than or equal to 1999 cc, for peritoneal dialysis"
A4722,"Dialysate solution, any concentration of dextrose, fluid volume greater than 1999 cc but less than or equal to 2999 cc, for peritoneal dialysis"
A4723,"Dialysate solution, any concentration of dextrose, fluid volume greater than 2999 cc but less than or equal to 3999 cc, for peritoneal dialysis"
A4724,"Dialysate solution, any concentration of dextrose, fluid volume greater than 3999 cc but less than or equal to 4999 cc, for peritoneal dialysis"
A4725,"Dialysate solution, any concentration of dextrose, fluid volume greater than 4999 cc but less than or equal to 5999 cc, for peritoneal dialysis"
A4726,"Dialysate solution, any concentration of dextrose, fluid volume greater than 5999 cc, for peritoneal dialysis"
A4728,"Dialysate solution, non-dextrose containing, 500 ml"
A4730,"Fistula cannulation set for hemodialysis, each"
A4736,"Topical anesthetic, for dialysis, per gram"
A4737,"Injectable anesthetic, for dialysis, per 10 ml"
A4740,"Shunt accessory, for hemodialysis, any type, each"
A4750,"Blood tubing, arterial or venous, for hemodialysis, each"
A4755,"Blood tubing, arterial and venous combined, for hemodialysis, each"
A4760,"Dialysate solution test kit, for peritoneal dialysis, any type, each"
A4765,"Dialysate concentrate, powder, additive for peritoneal dialysis, per packet"
C1748,"Endoscope, single-use (i.e. disposable), upper gi, imaging/illumination device (insertable)"
A4766,"Dialysate concentrate, solution, additive for peritoneal dialysis, per 10 ml"
A4770,"Blood collection tube, vacuum, for dialysis, per 50"
A4771,"Serum clotting time tube, for dialysis, per 50"
A4772,"Blood glucose test strips, for dialysis, per 50"
A4773,"Occult blood test strips, for dialysis, per 50"
A4774,"Ammonia test strips, for dialysis, per 50"
A4802,"Protamine sulfate, for hemodialysis, per 50 mg"
A4860,"Disposable catheter tips for peritoneal dialysis, per 10"
A4870,Plumbing and/or electrical work for home hemodialysis equipment
A4890,"Contracts, repair and maintenance, for hemodialysis equipment"
A4911,"Drain bag/bottle, for dialysis, each"
A4913,"Miscellaneous dialysis supplies, not otherwise specified"
A4918,"Venous pressure clamp, for hemodialysis, each"
A4927,"Gloves, non-sterile, per 100"
A4928,"Surgical mask, per 20"
A4929,"Tourniquet for dialysis, each"
A4930,"Gloves, sterile, per pair"
A4931,"Oral thermometer, reusable, any type, each"
A4932,"Rectal thermometer, reusable, any type, each"
A5051,"Ostomy pouch, closed; with barrier attached (1 piece), each"
A5052,"Ostomy pouch, closed; without barrier attached (1 piece), each"
A5053,"Ostomy pouch, closed; for use on faceplate, each"
A5054,"Ostomy pouch, closed; for use on barrier with flange (2 piece), each"
A5056,"Ostomy pouch, drainable, with extended wear barrier attached, with filter, (1 piece), each"
A5057,"Ostomy pouch, drainable, with extended wear barrier attached, with built in convexity, with filter, (1 piece), each"
A5061,"Ostomy pouch, drainable; with barrier attached, (1 piece), each"
A5062,"Ostomy pouch, drainable; without barrier attached (1 piece), each"
C1749,"Endoscope, retrograde imaging/illumination colonoscope device (implantable)"
A5063,"Ostomy pouch, drainable; for use on barrier with flange (2 piece system), each"
A5071,"Ostomy pouch, urinary; with barrier attached (1 piece), each"
A5072,"Ostomy pouch, urinary; without barrier attached (1 piece), each"
A5073,"Ostomy pouch, urinary; for use on barrier with flange (2 piece), each"
A5081,"Stoma plug or seal, any type"
A5082,Continent device; catheter for continent stoma
A5083,"Continent device, stoma absorptive cover for continent stoma"
A5093,Ostomy accessory; convex insert
A5102,"Bedside drainage bottle with or without tubing, rigid or expandable, each"
A5105,"Urinary suspensory with leg bag, with or without tube, each"
A5112,"Urinary drainage bag, leg or abdomen, latex, with or without tube, with straps, each"
A5113,"Leg strap; latex, replacement only, per set"
A5114,"Leg strap; foam or fabric, replacement only, per set"
C1750,"Catheter, hemodialysis/peritoneal, long-term"
A5120,"Skin barrier, wipes or swabs, each"
A5121,"Skin barrier; solid, 6 x 6 or equivalent, each"
A5122,"Skin barrier; solid, 8 x 8 or equivalent, each"
A5126,Adhesive or non-adhesive; disk or foam pad
A5131,"Appliance cleaner, incontinence and ostomy appliances, per 16 oz."
A5200,"Percutaneous catheter/tube anchoring device, adhesive skin attachment"
A5500,"For diabetics only, fitting (including follow-up), custom preparation and supply of off-the-shelf depth-inlay shoe manufactured to accommodate multi-density insert(s), per shoe"
A5501,"For diabetics only, fitting (including follow-up), custom preparation and supply of shoe molded from cast(s) of patient's foot (custom molded shoe), per shoe"
A5503,"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with roller or rigid rocker bottom, per shoe"
A5504,"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with wedge(s), per shoe"
A5505,"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with metatarsal bar, per shoe"
C1751,"Catheter, infusion, inserted peripherally, centrally or midline (other than hemodialysis)"
C1752,"Catheter, hemodialysis/peritoneal, short-term"
A5506,"For diabetics only, modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe with off-set heel(s), per shoe"
A5507,"For diabetics only, not otherwise specified modification (including fitting) of off-the-shelf depth-inlay shoe or custom-molded shoe, per shoe"
A5508,"For diabetics only, deluxe feature of off-the-shelf depth-inlay shoe or custom-molded shoe, per shoe"
A5510,"For diabetics only, direct formed, compression molded to patient's foot without external heat source, multiple-density insert(s) prefabricated, per shoe"
G0339,"Image-guided robotic linear accelerator-based stereotactic radiosurgery, complete course of therapy in one session or first session of fractionated treatment"
G0340,"Image-guided robotic linear accelerator-based stereotactic radiosurgery, delivery including collimator changes and custom plugging, fractionated treatment, all lesions, per session, second through fifth sessions, maximum five sessions per course of treatment"
G0341,"Percutaneous islet cell transplant, includes portal vein catheterization and infusion"
G0342,"Laparoscopy for islet cell transplant, includes portal vein catheterization and infusion"
G0343,"Laparotomy for islet cell transplant, includes portal vein catheterization and infusion"
G0372,Physician service required to establish and document the need for a power mobility device
G0378,"Hospital observation service, per hour"
G0379,Direct admission of patient for hospital observation care
G0380,"Level 1 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency room or emergency department; (2) it is held out to the public (by name, posted signs, advertising, or other means) as a place that provides care for emergency medical conditions on an urgent basis without requiring a previously scheduled appointment; or (3) during the calendar year immediately preceding the calendar year in which a determination under 42 cfr 489.24 is being made, based on a representative sample of patient visits that occurred during that calendar year, it provides at least one-third of all of its outpatient visits for the treatment of emergency medical conditions on an urgent basis without requiring a previously scheduled appointment)"
G0403,"Electrocardiogram, routine ecg with 12 leads; performed as a screening for the initial preventive physical examination with interpretation and report"
G0404,"Electrocardiogram, routine ecg with 12 leads; tracing only, without interpretation and report, performed as a screening for the initial preventive physical examination"
G0381,"Level 2 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency room or emergency department; (2) it is held out to the public (by name, posted signs, advertising, or other means) as a place that provides care for emergency medical conditions on an urgent basis without requiring a previously scheduled appointment; or (3) during the calendar year immediately preceding the calendar year in which a determination under 42 cfr 489.24 is being made, based on a representative sample of patient visits that occurred during that calendar year, it provides at least one-third of all of its outpatient visits for the treatment of emergency medical conditions on an urgent basis without requiring a previously scheduled appointment)"
G0382,"Level 3 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency room or emergency department; (2) it is held out to the public (by name, posted signs, advertising, or other means) as a place that provides care for emergency medical conditions on an urgent basis without requiring a previously scheduled appointment; or (3) during the calendar year immediately preceding the calendar year in which a determination under 42 cfr 489.24 is being made, based on a representative sample of patient visits that occurred during that calendar year, it provides at least one-third of all of its outpatient visits for the treatment of emergency medical conditions on an urgent basis without requiring a previously scheduled appointment)"
G0383,"Level 4 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency room or emergency department; (2) it is held out to the public (by name, posted signs, advertising, or other means) as a place that provides care for emergency medical conditions on an urgent basis without requiring a previously scheduled appointment; or (3) during the calendar year immediately preceding the calendar year in which a determination under 42 cfr 489.24 is being made, based on a representative sample of patient visits that occurred during that calendar year, it provides at least one-third of all of its outpatient visits for the treatment of emergency medical conditions on an urgent basis without requiring a previously scheduled appointment)"
G0384,"Level 5 hospital emergency department visit provided in a type b emergency department; (the ed must meet at least one of the following requirements: (1) it is licensed by the state in which it is located under applicable state law as an emergency room or emergency department; (2) it is held out to the public (by name, posted signs, advertising, or other means) as a place that provides care for emergency medical conditions on an urgent basis without requiring a previously scheduled appointment; or (3) during the calendar year immediately preceding the calendar year in which a determination under 42 cfr 489.24 is being made, based on a representative sample of patient visits that occurred during that calendar year, it provides at least one-third of all of its outpatient visits for the treatment of emergency medical conditions on an urgent basis without requiring a previously scheduled appointment)"
G0390,Trauma response team associated with hospital critical care service
G0396,"Alcohol and/or substance (other than tobacco) misuse structured assessment (e.g., audit, dast), and brief intervention 15 to 30 minutes"
G0397,"Alcohol and/or substance (other than tobacco) misuse structured assessment (e.g., audit, dast), and intervention, greater than 30 minutes"
G0398,"Home sleep study test (hst) with type ii portable monitor, unattended; minimum of 7 channels: eeg, eog, emg, ecg/heart rate, airflow, respiratory effort and oxygen saturation"
G0399,"Home sleep test (hst) with type iii portable monitor, unattended; minimum of 4 channels: 2 respiratory movement/airflow, 1 ecg/heart rate and 1 oxygen saturation"
G0400,"Home sleep test (hst) with type iv portable monitor, unattended; minimum of 3 channels"
G0402,"Initial preventive physical examination; face-to-face visit, services limited to new beneficiary during the first 12 months of medicare enrollment"
G0405,"Electrocardiogram, routine ecg with 12 leads; interpretation and report only, performed as a screening for the initial preventive physical examination"
G0406,"Follow-up inpatient consultation, limited, physicians typically spend 15 minutes communicating with the patient via telehealth"
G0407,"Follow-up inpatient consultation, intermediate, physicians typically spend 25 minutes communicating with the patient via telehealth"
G0408,"Follow-up inpatient consultation, complex, physicians typically spend 35 minutes communicating with the patient via telehealth"
G0409,"Social work and psychological services, directly relating to and/or furthering the patient's rehabilitation goals, each 15 minutes, face-to-face; individual (services provided by a corf-qualified social worker or psychologist in a corf)"
G0410,"Group psychotherapy other than of a multiple-family group, in a partial hospitalization setting, approximately 45 to 50 minutes"
G0411,"Interactive group psychotherapy, in a partial hospitalization setting, approximately 45 to 50 minutes"
G0412,"Open treatment of iliac spine(s), tuberosity avulsion, or iliac wing fracture(s), unilateral or bilateral for pelvic bone fracture patterns which do not disrupt the pelvic ring includes internal fixation, when performed"
G0413,"Percutaneous skeletal fixation of posterior pelvic bone fracture and/or dislocation, for fracture patterns which disrupt the pelvic ring, unilateral or bilateral, (includes ilium, sacroiliac joint and/or sacrum)"
G0414,"Open treatment of anterior pelvic bone fracture and/or dislocation for fracture patterns which disrupt the pelvic ring, unilateral or bilateral, includes internal fixation when performed (includes pubic symphysis and/or superior/inferior rami)"
G0415,"Open treatment of posterior pelvic bone fracture and/or dislocation, for fracture patterns which disrupt the pelvic ring, unilateral or bilateral, includes internal fixation, when performed (includes ilium, sacroiliac joint and/or sacrum)"
G0416,"Surgical pathology, gross and microscopic examinations, for prostate needle biopsy, any method"
G0420,"Face-to-face educational services related to the care of chronic kidney disease; individual, per session, per one hour"
G0421,"Face-to-face educational services related to the care of chronic kidney disease; group, per session, per one hour"
G0422,"Intensive cardiac rehabilitation; with or without continuous ecg monitoring with exercise, per session"
G0423,"Intensive cardiac rehabilitation; with or without continuous ecg monitoring; without exercise, per session"
G0425,"Telehealth consultation, emergency department or initial inpatient, typically 30 minutes communicating with the patient via telehealth"
G0426,"Telehealth consultation, emergency department or initial inpatient, typically 50 minutes communicating with the patient via telehealth"
G0427,"Telehealth consultation, emergency department or initial inpatient, typically 70 minutes or more communicating with the patient via telehealth"
G0428,"Collagen meniscus implant procedure for filling meniscal defects (e.g., cmi, collagen scaffold, menaflex)"
G0429,"Dermal filler injection(s) for the treatment of facial lipodystrophy syndrome (lds) (e.g., as a result of highly active antiretroviral therapy)"
G0432,"Infectious agent antibody detection by enzyme immunoassay (eia) technique, hiv-1 and/or hiv-2, screening"
G0433,"Infectious agent antibody detection by enzyme-linked immunosorbent assay (elisa) technique, hiv-1 and/or hiv-2, screening"
G0435,"Infectious agent antibody detection by rapid antibody test, hiv-1 and/or hiv-2, screening"
G0438,"Annual wellness visit; includes a personalized prevention plan of service (pps), initial visit"
G0439,"Annual wellness visit, includes a personalized prevention plan of service (pps), subsequent visit"
G0442,"Annual alcohol misuse screening, 15 minutes"
G0443,"Brief face-to-face behavioral counseling for alcohol misuse, 15 minutes"
G0444,"Annual depression screening, 15 minutes"
G0445,"High intensity behavioral counseling to prevent sexually transmitted infection; face-to-face, individual, includes: education, skills training and guidance on how to change sexual behavior; performed semi-annually, 30 minutes"
G0446,"Annual, face-to-face intensive behavioral therapy for cardiovascular disease, individual, 15 minutes"
G0447,"Face-to-face behavioral counseling for obesity, 15 minutes"
G0448,"Insertion or replacement of a permanent pacing cardioverter-defibrillator system with transvenous lead(s), single or dual chamber with insertion of pacing electrode, cardiac venous system, for left ventricular pacing"
G0451,"Development testing, with interpretation and report, per standardized instrument form"
G0452,Molecular pathology procedure; physician interpretation and report
G0453,"Continuous intraoperative neurophysiology monitoring, from outside the operating room (remote or nearby), per patient, (attention directed exclusively to one patient) each 15 minutes (list in addition to primary procedure)"
G0454,"Physician documentation of face-to-face visit for durable medical equipment determination performed by nurse practitioner, physician assistant or clinical nurse specialist"
G0455,"Preparation with instillation of fecal microbiota by any method, including assessment of donor specimen"
G0458,"Low dose rate (ldr) prostate brachytherapy services, composite rate"
G0459,"Inpatient telehealth pharmacologic management, including prescription, use, and review of medication with no more than minimal medical psychotherapy"
G0460,"Autologous platelet rich plasma for non-diabetic chronic wounds/ulcers, including phlebotomy, centrifugation, and all other preparatory procedures, administration and dressings, per treatment"
G0463,Hospital outpatient clinic visit for assessment and management of a patient
G0465,"Autologous platelet rich plasma (prp) for diabetic chronic wounds/ulcers, using an fda-cleared device (includes administration, dressings, phlebotomy, centrifugation, and all other preparatory procedures, per treatment)"
G0466,"Federally qualified health center (fqhc) visit, new patient; a medically-necessary, face-to-face encounter (one-on-one) between a new patient and a fqhc practitioner during which time one or more fqhc services are rendered and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving a fqhc visit"
G0467,"Federally qualified health center (fqhc) visit, established patient; a medically-necessary, face-to-face encounter (one-on-one) between an established patient and a fqhc practitioner during which time one or more fqhc services are rendered and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving a fqhc visit"
G0468,"Federally qualified health center (fqhc) visit, ippe or awv; a fqhc visit that includes an initial preventive physical examination (ippe) or annual wellness visit (awv) and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving an ippe or awv"
G0469,"Federally qualified health center (fqhc) visit, mental health, new patient; a medically-necessary, face-to-face mental health encounter (one-on-one) between a new patient and a fqhc practitioner during which time one or more fqhc services are rendered and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving a mental health visit"
G0470,"Federally qualified health center (fqhc) visit, mental health, established patient; a medically-necessary, face-to-face mental health encounter (one-on-one) between an established patient and a fqhc practitioner during which time one or more fqhc services are rendered and includes a typical bundle of medicare-covered services that would be furnished per diem to a patient receiving a mental health visit"
G0471,Collection of venous blood by venipuncture or urine sample by catheterization from an individual in a skilled nursing facility (snf) or by a laboratory on behalf of a home health agency (hha)
G0472,"Hepatitis c antibody screening, for individual at high risk and other covered indication(s)"
G0473,"Face-to-face behavioral counseling for obesity, group (2-10), 30 minutes"
G0475,"Hiv antigen/antibody, combination assay, screening"
G0476,"Infectious agent detection by nucleic acid (dna or rna); human papillomavirus (hpv), high-risk types (e.g., 16, 18, 31, 33, 35, 39, 45, 51, 52, 56, 58, 59, 68) for cervical cancer screening, must be performed in addition to pap test"
G0480,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms (any type, single or tandem and excluding immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g., alcohol dehydrogenase)), (2) stable isotope or other universally recognized internal standards in all samples (e.g., to control for matrix effects, interferences and variations in signal strength), and (3) method or drug-specific calibration and matrix-matched quality control material (e.g., to control for instrument variations and mass spectral drift); qualitative or quantitative, all sources, includes specimen validity testing, per day; 1-7 drug class(es), including metabolite(s) if performed"
G0481,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms (any type, single or tandem and excluding immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g., alcohol dehydrogenase)), (2) stable isotope or other universally recognized internal standards in all samples (e.g., to control for matrix effects, interferences and variations in signal strength), and (3) method or drug-specific calibration and matrix-matched quality control material (e.g., to control for instrument variations and mass spectral drift); qualitative or quantitative, all sources, includes specimen validity testing, per day; 8-14 drug class(es), including metabolite(s) if performed"
G0482,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms (any type, single or tandem and excluding immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g., alcohol dehydrogenase)), (2) stable isotope or other universally recognized internal standards in all samples (e.g., to control for matrix effects, interferences and variations in signal strength), and (3) method or drug-specific calibration and matrix-matched quality control material (e.g., to control for instrument variations and mass spectral drift); qualitative or quantitative, all sources, includes specimen validity testing, per day; 15-21 drug class(es), including metabolite(s) if performed"
G0483,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and lc/ms (any type, single or tandem and excluding immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g., alcohol dehydrogenase)), (2) stable isotope or other universally recognized internal standards in all samples (e.g., to control for matrix effects, interferences and variations in signal strength), and (3) method or drug-specific calibration and matrix-matched quality control material (e.g., to control for instrument variations and mass spectral drift); qualitative or quantitative, all sources, includes specimen validity testing, per day; 22 or more drug class(es), including metabolite(s) if performed"
G0490,Face-to-face home health nursing visit by a rural health clinic (rhc) or federally qualified health center (fqhc) in an area with a shortage of home health agencies;  (services limited to rn or lpn only)
G0491,Dialysis procedure at a medicare certified esrd facility for acute kidney injury without esrd
G0492,Dialysis procedure with single evaluation by a physician or other qualified health care professional  for acute kidney injury without esrd
G0493,"Skilled services of a registered nurse (rn) for the observation and assessment of the patient's condition, each 15 minutes (the change in the patient's condition requires skilled nursing personnel to identify and evaluate the patient's need for possible modification of treatment in the home health or hospice setting)"
G0494,"Skilled services of a licensed practical nurse (lpn) for the observation and assessment of the patient's condition, each 15 minutes (the change in the patient's condition requires skilled nursing personnel to identify and evaluate the patient's need for possible modification of treatment in the home health or hospice setting)"
G0495,"Skilled services of a registered nurse (rn), in the training and/or education of a patient or family member, in the home health or hospice setting, each 15 minutes"
G0496,"Skilled services of a licensed practical nurse (lpn), in the training and/or education of a patient or family member, in the home health or hospice setting, each 15 minutes"
G0498,"Chemotherapy administration, intravenous infusion technique; initiation of infusion in the office/clinic setting using office/clinic pump/supplies, with continuation of the infusion in the community setting (e.g., home, domiciliary, rest home or assisted living) using a portable pump provided by the office/clinic, includes follow up office/clinic visit at the conclusion of the infusion"
G0499,"Hepatitis b screening in non-pregnant, high risk individual includes hepatitis b surface antigen (hbsag), antibodies to hbsag (anti-hbs) and antibodies to hepatitis b core antigen (anti-hbc), and is followed by a neutralizing confirmatory test, when performed, only for an initially reactive hbsag result"
G0500,"Moderate sedation services provided by the same physician or other qualified health care professional performing a gastrointestinal endoscopic service that sedation supports, requiring the presence of an independent trained observer to assist in the monitoring of the patient's level of consciousness and physiological status; initial 15 minutes of intra-service time; patient age 5 years or older (additional time may be reported with 99153, as appropriate)"
G0501,"Resource-intensive services for patients for whom the use of specialized mobility-assistive technology (such as adjustable height chairs or tables, patient lift, and adjustable padded leg supports) is medically necessary and used during the provision of an office/outpatient, evaluation and management  visit (list separately in addition to primary service)"
G0506,Comprehensive assessment of and care planning for patients requiring chronic care management services (list separately in addition to primary monthly care management service)
G0508,"Telehealth consultation, critical care, initial , physicians typically spend 60 minutes communicating with the patient and providers via telehealth"
G0509,"Telehealth consultation, critical care, subsequent, physicians typically spend 50 minutes communicating with the patient and providers via telehealth"
G0511,"Rural health clinic or federally qualified health center (rhc or fqhc) only, general care management, 20 minutes or more of clinical staff time for chronic care management services or behavioral health integration services directed by an rhc or fqhc practitioner (physician, np, pa, or cnm), per calendar month"
G0512,"Rural health clinic or federally qualified health center (rhc/fqhc) only, psychiatric collaborative care model (psychiatric cocm), 60 minutes or more of clinical staff time for psychiatric cocm services directed by an rhc or fqhc practitioner (physician, np, pa, or cnm) and including services furnished by a behavioral health care manager and consultation with a psychiatric consultant, per calendar month"
G0513,"Prolonged preventive service(s) (beyond the typical service time of the primary procedure), in the office or other outpatient setting requiring direct patient contact beyond the usual service; first 30 minutes (list separately in addition to code for preventive service)"
G0514,"Prolonged preventive service(s) (beyond the typical service time of the primary procedure), in the office or other outpatient setting requiring direct patient contact beyond the usual service; each additional 30 minutes (list separately in addition to code g0513 for additional 30 minutes of preventive service)"
G0516,"Insertion of non-biodegradable drug delivery implants, 4 or more (services for subdermal rod implant)"
G0517,"Removal of non-biodegradable drug delivery implants, 4 or more (services for subdermal implants)"
G0518,"Removal with reinsertion, non-biodegradable drug delivery implants, 4 or more (services for subdermal implants)"
G0659,"Drug test(s), definitive, utilizing drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including but not limited to gc/ms (any type, single or tandem) and lc/ms (any type, single or tandem), excluding immunoassays (e.g., ia, eia, elisa, emit, fpia) and enzymatic methods (e.g., alcohol dehydrogenase), performed without method or drug-specific calibration, without matrix-matched quality control material, or without use of stable isotope or other universally recognized internal standard(s) for each drug, drug metabolite or drug class per specimen; qualitative or quantitative, all sources, includes specimen validity testing, per day, any number of drug classes"
G0913,Improvement in visual function achieved within 90 days following cataract surgery
G0914,Patient care survey was not completed by patient
G0915,Improvement in visual function not achieved within 90 days following cataract surgery
G0916,Satisfaction with care achieved within 90 days following cataract surgery
G0917,Patient satisfaction survey was not completed by patient
G0918,Satisfaction with care not achieved within 90 days following cataract surgery
G1001,"Clinical decision support mechanism evicore, as defined by the medicare appropriate use criteria program"
G1002,"Clinical decision support mechanism medcurrent, as defined by the medicare appropriate use criteria program"
G1003,"Clinical decision support mechanism medicalis, as defined by the medicare appropriate use criteria program"
G1004,"Clinical decision support mechanism national decision support company, as defined by the medicare appropriate use criteria program"
G1007,"Clinical decision support mechanism aim specialty health, as defined by the medicare appropriate use criteria program"
G1008,"Clinical decision support mechanism cranberry peak, as defined by the medicare appropriate use criteria program"
G1009,"Clinical decision support mechanism sage health management solutions, as defined by the medicare appropriate use criteria program"
G1010,"Clinical decision support mechanism stanson, as defined by the medicare appropriate use criteria program"
G1011,"Clinical decision support mechanism, qualified tool not otherwise specified, as defined by the medicare appropriate use criteria program"
G1012,"Clinical decision support mechanism agilemd, as defined by the medicare appropriate use criteria program"
G1013,"Clinical decision support mechanism evidencecare imagingcare, as defined by the medicare appropriate use criteria program"
G1014,"Clinical decision support mechanism inveniqa semantic answers in medicine, as defined by the medicare appropriate use criteria program"
G1015,"Clinical decision support mechanism reliant medical group, as defined by the medicare appropriate use criteria program"
G1016,"Clinical decision support mechanism speed of care, as defined by the medicare appropriate use criteria program"
G1017,"Clinical decision support mechanism healthhelp, as defined by the medicare appropriate use criteria program"
G1018,"Clinical decision support mechanism infinx, as defined by the medicare appropriate use criteria program"
G1019,"Clinical decision support mechanism logicnets, as defined by the medicare appropriate use criteria program"
G1020,"Clinical decision support mechanism curbside clinical augmented workflow, as defined by the medicare appropriate use criteria program"
G1021,"Clinical decision support mechanism ehealthline clinical decision support mechanism, as defined by the medicare appropriate use criteria program"
G1022,"Clinical decision support mechanism intermountain clinical decision support mechanism, as defined by the medicare appropriate use criteria program"
G1023,"Clinical decision support mechanism persivia clinical decision support, as defined by the medicare appropriate use criteria program"
G1024,"Clinical decision support mechanism radrite, as defined by the medicare appropriate use criteria program"
G1025,Patient-months where there are more than one medicare capitated payment (mcp) provider listed for the month
G1026,The number of adult patient-months in the denominator who were on maintenance hemodialysis using a catheter continuously for three months or longer under the care of the same practitioner or group partner as of the last hemodialysis session of the reporting month
J0690,"Injection, cefazolin sodium, 500 mg"
J0691,"Injection, lefamulin, 1 mg"
J0692,"Injection, cefepime hydrochloride, 500 mg"
J0694,"Injection, cefoxitin sodium, 1 gm"
J0695,"Injection, ceftolozane 50 mg and tazobactam 25 mg"
J0696,"Injection, ceftriaxone sodium, per 250 mg"
J0697,"Injection, sterile cefuroxime sodium, per 750 mg"
J0698,"Injection, cefotaxime sodium, per gm"
J0702,"Injection, betamethasone acetate 3 mg and betamethasone sodium phosphate 3 mg"
J0706,"Injection, caffeine citrate, 5 mg"
J0710,"Injection, cephapirin sodium, up to 1 gm"
J0712,"Injection, ceftaroline fosamil, 10 mg"
J0713,"Injection, ceftazidime, per 500 mg"
J0714,"Injection, ceftazidime and avibactam, 0.5 g/0.125 g"
J0715,"Injection, ceftizoxime sodium, per 500 mg"
J0716,"Injection, centruroides immune f(ab)2, up to 120 milligrams"
J0717,"Injection, certolizumab pegol, 1 mg (code may be used for medicare when drug administered under the direct supervision of a physician, not for use when drug is self administered)"
J0720,"Injection, chloramphenicol sodium succinate, up to 1 gm"
J0725,"Injection, chorionic gonadotropin, per 1,000 usp units"
J0735,"Injection, clonidine hydrochloride, 1 mg"
J0740,"Injection, cidofovir, 375 mg"
J0742,"Injection, imipenem 4 mg, cilastatin 4 mg and relebactam 2 mg"
J0743,"Injection, cilastatin sodium; imipenem, per 250 mg"
J0744,"Injection, ciprofloxacin for intravenous infusion, 200 mg"
J0745,"Injection, codeine phosphate, per 30 mg"
J0770,"Injection, colistimethate sodium, up to 150 mg"
J0775,"Injection, collagenase, clostridium histolyticum, 0.01 mg"
J0780,"Injection, prochlorperazine, up to 10 mg"
J0791,"Injection, crizanlizumab-tmca, 5 mg"
J0795,"Injection, corticorelin ovine triflutate, 1 microgram"
J0800,"Injection, corticotropin, up to 40 units"
J0834,"Injection, cosyntropin, 0.25 mg"
J0840,"Injection, crotalidae polyvalent immune fab (ovine), up to 1 gram"
J0841,"Injection, crotalidae immune f(ab')2 (equine), 120 mg"
J0850,"Injection, cytomegalovirus immune globulin intravenous (human), per vial"
